id,name,price,description,image,imagetwo,category,offer,newprice,created_at,updated_at
79,BIG ORDER 06                                                                    ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
80,BLACK BULLET 01                                                                 ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
81,BLACK BULLET 02                                                                 ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
82,BLACK BULLET 03                                                                 ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
83,BLACK BULLET 04,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
84,BLACK CLOVER 01,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
85,BLACK CLOVER 02,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
86,BLACK CLOVER 03,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
87,BLACK PARADOX,895,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
88,BLACK PARADOX (REEDICIÓN),895,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
89,BLEACH 01,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
90,BLEACH 02,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
91,BLEACH 03,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
92,BLEACH 04,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
93,BLEACH 05,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
94,BLEACH 06,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
95,BLEACH 07,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
96,BLEACH 08,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
97,BLEACH 09,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
98,BLEACH 10,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
99,BLEACH 11,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
100,BLEACH 12,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
101,BLEACH 13,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
